,Rating,Helpful Votes,Number of Reviews
0,5.0 out of 5 stars,103,7
1,2.0 out of 5 stars,741,135
2,5.0 out of 5 stars,172,42
3,5.0 out of 5 stars,174,78
4,5.0 out of 5 stars,33,21
5,5.0 out of 5 stars,271,235
6,4.0 out of 5 stars,32,4
7,4.0 out of 5 stars,44,29
8,5.0 out of 5 stars,44,5
9,3.0 out of 5 stars,980,53
10,5.0 out of 5 stars,358,265
11,5.0 out of 5 stars,23,37
12,5.0 out of 5 stars,336,24
13,2.0 out of 5 stars,2,5
14,4.0 out of 5 stars,59,36
15,5.0 out of 5 stars,0,5
16,3.0 out of 5 stars,10,22
17,5.0 out of 5 stars,0,1
18,5.0 out of 5 stars,43,32
19,5.0 out of 5 stars,195,78
20,5.0 out of 5 stars,5,11
21,5.0 out of 5 stars,54,25
22,5.0 out of 5 stars,36,13
23,5.0 out of 5 stars,7,10
24,3.0 out of 5 stars,31,32
25,4.0 out of 5 stars,400,57
26,5.0 out of 5 stars,302,156
27,5.0 out of 5 stars,163,56
28,5.0 out of 5 stars,1,5
29,1.0 out of 5 stars,27,17
30,5.0 out of 5 stars,15,44
31,5.0 out of 5 stars,73,9
32,1.0 out of 5 stars,57,153
33,4.0 out of 5 stars,0,1
34,5.0 out of 5 stars,0,1
35,5.0 out of 5 stars,37,42
36,3.0 out of 5 stars,20,36
37,5.0 out of 5 stars,8,28
38,5.0 out of 5 stars,24,36
39,5.0 out of 5 stars,6,59
40,1.0 out of 5 stars,7,14
41,5.0 out of 5 stars,5,11
42,5.0 out of 5 stars,29,45
43,5.0 out of 5 stars,1,1
44,5.0 out of 5 stars,4,29
45,5.0 out of 5 stars,74,32
46,4.0 out of 5 stars,1,8
47,4.0 out of 5 stars,178,10
48,5.0 out of 5 stars,54,148
49,5.0 out of 5 stars,2,12
50,5.0 out of 5 stars,156,103
51,1.0 out of 5 stars,1,3
52,5.0 out of 5 stars,32,22
53,5.0 out of 5 stars,0,5
54,4.0 out of 5 stars,0,2
55,4.0 out of 5 stars,0,7
56,5.0 out of 5 stars,0,2
57,5.0 out of 5 stars,3,5
58,5.0 out of 5 stars,0,12
59,5.0 out of 5 stars,0,12
60,4.0 out of 5 stars,2,7
61,5.0 out of 5 stars,0,6
62,5.0 out of 5 stars,0,1
63,5.0 out of 5 stars,25,9
64,5.0 out of 5 stars,0,4
65,5.0 out of 5 stars,0,2
66,5.0 out of 5 stars,0,2
67,5.0 out of 5 stars,0,1
68,5.0 out of 5 stars,0,5
69,5.0 out of 5 stars,5,3
70,5.0 out of 5 stars,0,1
71,5.0 out of 5 stars,0,4
72,5.0 out of 5 stars,0,0
73,5.0 out of 5 stars,0,2
74,5.0 out of 5 stars,0,1
75,2.0 out of 5 stars,3,9
76,5.0 out of 5 stars,0,4
77,1.0 out of 5 stars,5,32
78,1.0 out of 5 stars,131,24
79,5.0 out of 5 stars,0,1
80,5.0 out of 5 stars,0,1
81,5.0 out of 5 stars,0,1
82,5.0 out of 5 stars,0,1
